Sumber :
Public Dataset "Student Performance Dataset"
https://www.kaggle.com/impapan/student-performance-data-set

Atribut			Tipe				Keterangan
School			Diskrit Nominal			Responden pilihan sekolah (binary: "GP" - Gabriel Pereira or "MS" - Mousinho da Silveira)
Gender			Diskrit Nominal			Jenis Kelamin responden (Male or Female)
Age			Numerik Rasio			Rentang umur responden (from 15 to 22)
Address			Diskrit Nominal			Responden tempat tinggal (binary: "U" - urban or "R" - rural)
Famsize			Numerik				Responden family size (binary: "LE3" - less or equal to 3 or "GT3" - greater than 3)
Pstatus			Diskrit Nominal			Parent's cohabitation status (binary: "T" - living together or "A" - apart)
Medu			Numerik				mother's education (numeric: 0 - none,  1 - primary education (4th grade), 2 – 5th to 9th grade, 3 – secondary education or 4 – higher education)
Fedu			Numerik				Fedu - father's education (numeric: 0 - none,  1 - primary education (4th grade), 2 – 5th to 9th grade, 3 – secondary education or 4 – higher education)
Mjob			Diskrit Nominal			mother's job (nominal: "teacher", "health" care related, civil "services" (e.g. administrative or police), "at_home" or "other")
Fjob			Diskrit Nominal			father's job (nominal: "teacher", "health" care related, civil "services" (e.g. administrative or police), "at_home" or "other")
Reason			Diskrit Nominal			reason to choose this school (nominal: close to "home", school "reputation", "course" preference or "other")
Guardian		Diskrit Nominal			student's guardian (nominal: "mother", "father" or "other")
Traveltime		Numerik Rasio			home to school travel time (numeric: 1 - <15 min., 2 - 15 to 30 min., 3 - 30 min. to 1 hour, or 4 - >1 hour)		
Studytime		Numerik Rasio			weekly study time (numeric: 1 - <2 hours, 2 - 2 to 5 hours, 3 - 5 to 10 hours, or 4 - >10 hours)
Failures		Numerik 			number of past class failures (numeric: n if 1<=n<3, else 4)		
Schoolsup		Diskrit Nominal			extra educational support (binary: yes or no)		
Famsup			Diskrit Nominal			family educational support (binary: yes or no)
Paid			Diskrit Nominal			extra paid classes within the course subject (Math or Portuguese) (binary: yes or no)	
Activities		Diskrit Nominal			extra-curricular activities (binary: yes or no)
Nursery			Diskrit Nominal			attended nursery school (binary: yes or no)
Higher			Diskrit Nominal			wants to take higher education (binary: yes or no)
Interner		Diskrit Nominal			Internet access at home (binary: yes or no)
Romantic		Diskrit Nominal			with a romantic relationship (binary: yes or no)
Famrel			Numerik Rasio			quality of family relationships (numeric: from 1 - very bad to 5 - excellent)
Freetime		Numerik Interval		free time after school (numeric: from 1 - very low to 5 - very high)
Goout			Numerik Interval		going out with friends (numeric: from 1 - very low to 5 - very high)	
Dalc			Numerik Interval		workday alcohol consumption (numeric: from 1 - very low to 5 - very high)
Walc			Numerik Interval		weekend alcohol consumption (numeric: from 1 - very low to 5 - very high)
Health			Numerik Interval		current health status (numeric: from 1 - very bad to 5 - very good)
Absences		Numerik Rasio			number of school absences (numeric: from 0 to 93)
G1			Numerik Interval		first period grade (numeric: from 0 to 20)
G2			Numerik Interval		second period grade (numeric: from 0 to 20)
G3			Numerik Interval		final grade (numeric: from 0 to 20, output target)
